Direction of skewing,Left 1,Left 2,Right 1,Right 2
Balanced,1,1,1,1
Skew to the right,1,1,1,2
Skew to the right,1,1,1,3
Skew to the right,1,1,1,4
Skew to the right,1,1,1,5
Skew to the right,1,1,2,1
Skew to the right,1,1,2,2
Skew to the right,1,1,2,3
Skew to the right,1,1,2,4
Skew to the right,1,1,2,5
Skew to the right,1,1,3,1
Skew to the right,1,1,3,2
Skew to the right,1,1,3,3
Skew to the right,1,1,3,4
Skew to the right,1,1,3,5
Skew to the right,1,1,4,1
Skew to the right,1,1,4,2
Skew to the right,1,1,4,3
Skew to the right,1,1,4,4
Skew to the right,1,1,4,5
Skew to the right,1,1,5,1
Skew to the right,1,1,5,2
Skew to the right,1,1,5,3
Skew to the right,1,1,5,4
Skew to the right,1,1,5,5
Skew to the left,1,2,1,1
Balanced,1,2,1,2
Skew to the right,1,2,1,3
Skew to the right,1,2,1,4
Skew to the right,1,2,1,5
Balanced,1,2,2,1
Skew to the right,1,2,2,2
Skew to the right,1,2,2,3
Skew to the right,1,2,2,4
Skew to the right,1,2,2,5
Skew to the right,1,2,3,1
Skew to the right,1,2,3,2
Skew to the right,1,2,3,3
Skew to the right,1,2,3,4
Skew to the right,1,2,3,5
Skew to the right,1,2,4,1
Skew to the right,1,2,4,2
Skew to the right,1,2,4,3
Skew to the right,1,2,4,4
Skew to the right,1,2,4,5
Skew to the right,1,2,5,1
Skew to the right,1,2,5,2
Skew to the right,1,2,5,3
Skew to the right,1,2,5,4
Skew to the right,1,2,5,5
Skew to the left,1,3,1,1
Skew to the left,1,3,1,2
Balanced,1,3,1,3
Skew to the right,1,3,1,4
Skew to the right,1,3,1,5
Skew to the left,1,3,2,1
Skew to the right,1,3,2,2
Skew to the right,1,3,2,3
Skew to the right,1,3,2,4
Skew to the right,1,3,2,5
Balanced,1,3,3,1
Skew to the right,1,3,3,2
Skew to the right,1,3,3,3
Skew to the right,1,3,3,4
Skew to the right,1,3,3,5
Skew to the right,1,3,4,1
Skew to the right,1,3,4,2
Skew to the right,1,3,4,3
Skew to the right,1,3,4,4
Skew to the right,1,3,4,5
Skew to the right,1,3,5,1
Skew to the right,1,3,5,2
Skew to the right,1,3,5,3
